[2021-01-11 09:48:34] db_update.INFO: Areas were successfully updated, affected 25 rows, deleted 0 rows [] []
[2021-01-11 09:48:58] db_update.INFO: Cities were successfully updated, affected 3900 rows, deleted  rows [] []
[2021-01-11 09:48:59] db_update.INFO: Areas were successfully updated, affected 25 rows, deleted 0 rows [] []
[2021-01-11 09:49:08] db_update.INFO: Cities were successfully updated, affected 0 rows, deleted 0 rows [] []
[2021-01-11 09:49:19] db_update.INFO: Warehouses were successfully updated, affected 0 rows, deleted 0 rows [] []
[2021-01-11 09:49:27] db_update.INFO: Warehouses were successfully updated, affected 0 rows, deleted 0 rows [] []
[2021-01-11 09:49:27] db_update.INFO: Areas were successfully updated, affected 0 rows, deleted 0 rows [] []
[2021-01-11 09:49:27] db_update.INFO: Areas were successfully updated, affected  rows, deleted  rows [] []
[2021-01-11 09:49:46] db_update.INFO: Cities were successfully updated, affected 0 rows, deleted  rows [] []
[2021-01-11 09:49:56] db_update.INFO: Areas were successfully updated, affected 25 rows, deleted 0 rows [] []
[2021-01-11 09:50:08] db_update.INFO: Cities were successfully updated, affected 600 rows, deleted 0 rows [] []
[2021-01-11 09:56:45] db_update.INFO: Areas were successfully updated, affected 25 rows, deleted 0 rows [] []
[2021-01-11 09:56:56] db_update.INFO: Cities were successfully updated, affected 600 rows, deleted 0 rows [] []
[2021-01-11 09:57:27] db_update.INFO: Warehouses were successfully updated, affected 0 rows, deleted 0 rows [] []
[2021-01-11 09:59:31] db_update.INFO: Areas were successfully updated, affected 25 rows, deleted 0 rows [] []
[2021-01-11 10:00:17] db_update.INFO: Cities were successfully updated, affected 1200 rows, deleted 0 rows [] []
[2021-01-11 10:01:27] db_update.INFO: Areas were successfully updated, affected  rows, deleted 0 rows [] []
[2021-01-11 10:01:42] db_update.INFO: Cities were successfully updated, affected 1200 rows, deleted 0 rows [] []
[2021-01-11 10:02:03] db_update.INFO: Warehouses were successfully updated, affected 0 rows, deleted 0 rows [] []
[2021-01-11 10:05:55] db_update.INFO: Areas were successfully updated, affected 25 rows, deleted 0 rows [] []
[2021-01-11 10:06:24] db_update.INFO: Cities were successfully updated, affected 5100 rows, deleted 0 rows [] []
[2021-01-11 10:06:34] db_update.INFO: Warehouses were successfully updated, affected 0 rows, deleted 0 rows [] []
[2021-01-11 10:06:35] db_update.INFO: Areas were successfully updated, affected 25 rows, deleted 0 rows [] []
[2021-01-11 10:06:47] db_update.INFO: Cities were successfully updated, affected 900 rows, deleted 0 rows [] []
[2021-01-11 10:06:57] db_update.INFO: Warehouses were successfully updated, affected 0 rows, deleted 0 rows [] []
[2021-01-11 10:09:29] db_update.INFO: Areas were successfully updated, affected 25 rows, deleted 0 rows [] []
[2021-01-11 10:09:53] db_update.INFO: Cities were successfully updated, affected 4500 rows, deleted 0 rows [] []
[2021-01-11 10:10:04] db_update.INFO: Warehouses were successfully updated, affected 0 rows, deleted 0 rows [] []
[2021-01-11 10:10:58] db_update.INFO: Areas were successfully updated, affected 25 rows, deleted 0 rows [] []
[2021-01-11 10:11:07] db_update.INFO: Cities were successfully updated, affected 0 rows, deleted 0 rows [] []
[2021-01-11 10:11:20] db_update.INFO: Warehouses were successfully updated, affected 0 rows, deleted 0 rows [] []
[2021-01-11 13:06:02] db_update.INFO: Areas were successfully updated, affected 25 rows, deleted 0 rows [] []
[2021-01-11 13:06:20] db_update.INFO: Cities were successfully updated, affected 2400 rows, deleted 0 rows [] []
[2021-01-11 13:06:32] db_update.INFO: Warehouses were successfully updated, affected 0 rows, deleted 0 rows [] []
